geometry/coordinates/0/0/0,geometry/coordinates/0/0/1,geometry/coordinates/0/0/2,geometry/coordinates/0/1/0,geometry/coordinates/0/1/1,geometry/coordinates/0/1/2,geometry/coordinates/0/2/0,geometry/coordinates/0/2/1,geometry/coordinates/0/2/2,geometry/coordinates/0/3/0,geometry/coordinates/0/3/1,geometry/coordinates/0/3/2,geometry/type,properties/bounds_imcoords,properties/edited_by,properties/feature_id/0,properties/image_id,properties/ingest_time,properties/type_id,properties/type_name,type
-72.097206,41.378285,0,-72.097198,41.378462,0,-72.096323,41.37842,0,-72.096331,41.378244,0,Polygon,"2236.341486450408,2011.8619141770253,2238.665665204506,1962.8217424624015,2481.5996147635037,1974.33519978673,2479.275436009406,2023.3753715013538",Ilwon Lee @ SI Analytics,3cd627bc8bb5856948f4a00622666c7d12317af10765408b3b7bc51cfcfe912b,0.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.097389,41.378125,0,-72.097383,41.378235,0,-72.096836,41.378209,0,-72.096841,41.378099,0,Polygon,"2185.5794404486546,2056.4704288715725,2187.032365729165,2025.8137054508172,2339.1402065249736,2033.0226078577368,2337.687281244463,2063.6793312784916",Ilwon Lee @ SI Analytics,fb0af1d6642506ad79c2e7651b2a5dd36005eb62f96ee9bb6bb127ca6cc04953,0.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.096924,41.378813,0,-72.096828,41.378897,0,-72.096472,41.378492,0,-72.096568,41.378408,0,Polygon,"2314.6836988962705,1865.188985750079,2341.280211802753,1841.8344047546207,2440.1659448061464,1954.4468157673966,2413.569431899664,1977.801396762855",Ilwon Lee @ SI Analytics,a8808b6e01b459402df54690481ea9f2e146b34b1209a7a7d2da0fac8d05f99c,0.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.096129,41.379175,0,-72.096107,41.379309,0,-72.095189,41.379161,0,-72.095211,41.379027,0,Polygon,"2535.5301911335873,1764.7630438234478,2541.5243559184946,1727.5967517135375,2796.585223623545,1768.7328668439973,2790.5910588386378,1805.8991589539075",Ilwon Lee @ SI Analytics,f4050106e6abf45161ace19105ba2099d234f61efbf85dbae975563f881f33d9,0.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.097756,41.377746,0,-72.097735,41.377886,0,-72.0972,41.377804,0,-72.097221,41.377664,0,Polygon,"2083.444613160385,2161.564299855292,2089.381575005758,2122.8267171911666,2238.114317313021,2145.6216505738757,2232.177355467648,2184.3592332380013",Ilwon Lee @ SI Analytics,44dfd765aec0769bdb5b9407bf61d7b161d3097e3bca8326cc78d6f0df3a1df5,0.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.096218,41.378716,0,-72.096191,41.378884,0,-72.095714,41.378807,0,-72.095741,41.378639,0,Polygon,"2510.8904161810574,1892.2534291645068,2518.4028591126876,1845.6731867996305,2650.8691216713064,1867.0372928522077,2643.356678739676,1913.617535217084",Ilwon Lee @ SI Analytics,c1b7e2ceee1099865093f4fbb111f3dd89caf14dbeef3ef34ab417d27e220be3,0.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.096061,41.378974,0,-72.096033,41.379117,0,-72.095095,41.378932,0,-72.095123,41.378789,0,Polygon,"2554.3794859180107,1820.5288898414524,2562.194389758882,1780.9219808544551,2822.6233802683364,1832.3076499273634,2814.808476427465,1871.9145589143607",Ilwon Lee @ SI Analytics,54aa05158351d00e53ae2d718d027bae14d4a5467479283891d62ab30c6afb2c,0.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.095038,41.379664,0,-72.095036,41.379497,0,-72.096066,41.379482,0,-72.096069,41.379649,0,Polygon,"2838.471558469008,1628.8373019929575,2839.151095777994,1675.2814002837208,2552.883423729301,1679.4698670787031,2552.2038864203146,1633.0257687879398",Ilwon Lee @ SI Analytics,515663eb5cc4dcbd941b4843ad1c3113622aaa1e8b266c6d205dc82c07060c36,0.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.093527,41.357824,0,-72.09347,41.357746,0,-72.093778,41.357522,0,-72.093835,41.3576,0,Polygon,"258.41270525698405,1695.6163437094071,274.133396372332,1717.2540187378843,188.42373452123843,1779.5257331336618,172.70304340589047,1757.8880581051847",Ilwon Lee @ SI Analytics,bd9a1f707efd1d3d100825e34bdb894da984a86ab80414ba0688301259bbd902,1.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.084716,41.357857,0,-72.084715,41.357769,0,-72.085129,41.357766,0,-72.085129,41.357854,0,Polygon,"2705.8010968857875,1686.480634575043,2705.9564831399084,1710.8762773742758,2591.0748627753214,1711.6080074132306,2590.9194765212005,1687.2123646139978",Ilwon Lee @ SI Analytics,85424984bd37b35f68f18fb8d368a7591f4fa585bd6f00124ecf38d2037e3d38,1.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.092135,41.35657,0,-72.092081,41.356383,0,-72.092651,41.35622,0,-72.092705,41.356406,0,Polygon,"645.0510946516721,2044.0106633896764,659.8858459129428,2095.7455892090193,501.5283277924094,2141.153876830299,486.6935765311386,2089.4189510109563",Ilwon Lee @ SI Analytics,de4d3fdadafeec53c78cae9993b69a1ce617003fc59e3ed58737b4a72ed0566c,1.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.092685,41.357494,0,-72.092593,41.357346,0,-72.09304,41.357067,0,-72.093132,41.357214,0,Polygon,"492.1308873015325,1787.3551196415822,517.7286089594146,1828.3200374754733,393.5260764738112,1905.9303934552488,367.9283548159291,1864.9654756213577",Ilwon Lee @ SI Analytics,bedce3cfce12890db58dcdbaa5dd974971496e6764d37252485c3cdb77750bae,1.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.092878,41.357601,0,-72.092797,41.35748,0,-72.093225,41.357192,0,-72.093306,41.357313,0,Polygon,"438.42442420932235,1757.4265709370136,461.10787032816035,1791.056162784165,342.2323177327275,1871.2387354541336,319.5488716138895,1837.6091436069821",Ilwon Lee @ SI Analytics,7a4419e6e3bcc89a3cd082110ba139ce5c2a4627441fdd431e9a7694de588817,1.png,2019:01:14 20:45:21,4,maritime vessels,Feature
-72.093009,41.357602,0,-72.092971,41.357521,0,-72.093269,41.357381,0,-72.093307,41.357461,0,Polygon,"402.28541886495424,1757.3101119819842,412.8078705171805,1779.663489375643,329.9509468010112,1818.6669007394628,319.4284951487849,1796.313523345804",Ilwon Lee @ SI Analytics,6225943907bf02f55dd1dc511b1b950d241bc02666005492d1d10b4e4bd070fe,1.png,2019:01:14 20:45:21,4,maritime vessels,Feature
